도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
마상공원작은도서관,경기도,고양시,작은도서관,월+일+둘째 주 화+법정공휴일,10:00,19:00,10:00,19:00,00:00,00:00,0,6913,8,0,5,14,경기도 고양시 덕양구 원당로69번길 46(주교동),책과도서관,070-4422-2587,48,48,https://www.facebook.com/masanglib/,37.66014949,126.8330165,2022-03-31,3940000,경기도 고양시
모당공원작은도서관,경기도,고양시,작은도서관,일+둘째 주 화+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,0,7465,10,0,3,14,경기도 고양시 일산동구 중산로 73-2(중산동),책과도서관,070-4244-7442,174,174,https://www.facebook.com/modangparklibrary,37.67814936,126.7812889,2022-03-31,3940000,경기도 고양시
백석도서관,경기도,고양시,공공도서관,첫 번째 월+세 번째 월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,00:00,00:00,234,141667,131,2176,7,14,경기도 고양시 일산동구 일산로 118(백석동),경기도 고양시청,031-8075-9090,4347.7,4030.5,https://www.goyanglib.or.kr/MD/index.do,37.647218,126.793626,2022-03-31,3940000,경기도 고양시
별꿈도서관,경기도,고양시,공공도서관,월+법정공휴일(일요일 제외),10:00,19:00,09:00,18:00,00:00,00:00,0,12785,6,0,7,14,경기도 고양시 덕양구 고양대로 1937(동산동),경기도 고양시청,031-8075-9305,471,585.08,https://www.goyanglib.or.kr/MQ/index.do,37.646263,126.894479,2022-03-31,3940000,경기도 고양시
사리현작은도서관,경기도,고양시,작은도서관,월+일+법정공휴일,10:00,19:00,10:00,18:00,00:00,00:00,0,12401,7,0,5,14,"경기도 고양시 일산동구 공릉천로 68(사리현동, 동문아파트)",경기도 고양시 사리현동 동문굿모닝힐 입주자대표회의,031-815-5530,93,93,https://blog.naver.com/sarihyeon,37.6991849205,126.8464339258,2022-03-31,3940000,경기도 고양시
삼송도서관,경기도,고양시,공공도서관,첫 번째 월+세 번째 월+법정공휴일(일요일 제외),08:00,23:00,08:00,23:00,00:00,00:00,110,75907,141,1023,7,14,경기도 고양시 덕양구 덕수천1로 73(삼송동),경기도 고양시청,031-8075-9360,45016,3836.14,https://www.goyanglib.or.kr/MP/index.do,37.648863,126.884854,2022-03-31,3940000,경기도 고양시
식사도서관,경기도,고양시,공공도서관,두 번째 월+네 번째 월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,00:00,00:00,194,90150,106,1830,7,14,경기도 고양시 일산동구 위시티2로 43-6(식사동),경기도 고양시청,031-8075-9190,2400,3775.72,https://www.goyanglib.or.kr/MM/index.do,37.67608444,126.815973,2022-03-31,3940000,경기도 고양시
삼송작은도서관,경기도,고양시,작은도서관,일+첫째 주 월+첫째 주 토+셋째 주 토+다섯째 주 토+법정공휴일,09:00,18:00,10:00,14:00,00:00,00:00,0,12161,8,0,5,14,경기도 고양시 덕양구 삼송로 180(삼송동),경기도 고양시 삼송동 종합복지회관,02-381-9095,122.4,122.4,,37.653145,126.893909,2022-03-31,3940000,경기도 고양시
신원도서관,경기도,고양시,공공도서관,두 번째 월+네 번째 월+법정공휴일(일요일 제외),07:00,23:00,07:00,23:00,00:00,00:00,170,77307,136,1573,7,14,경기도 고양시 덕양구 신원2로 24(신원동),경기도 고양시청,031-8075-9340,14983,3982.89,https://www.goyanglib.or.kr/MO/index.do,37.666383,126.886359,2022-03-31,3940000,경기도 고양시
아람누리도서관,경기도,고양시,공공도서관,첫 번째 월+세 번째 월+법정공휴일(일요일 제외),09:00,22:00,09:00,18:00,00:00,00:00,0,193214,197,3078,7,14,경기도 고양시 일산동구 중앙로 1286(마두동),경기도 고양시청,031-8075-9038,54239.4,4457.07,https://www.goyanglib.or.kr/MF/index.do,37.661486,126.774456,2022-03-31,3940000,경기도 고양시
원당도서관,경기도,고양시,공공도서관,첫 번째 월+세 번째 월+법정공휴일(일요일 제외),09:00,18:00,09:00,18:00,00:00,00:00,0,78059,37,3473,7,14,경기도 고양시 덕양구 호국로790번길 87(성사동),경기도 고양시청,031-8075-9260,586,348.53,https://www.goyanglib.or.kr/MC/index.do,37.65465084,126.840652,2022-03-31,3940000,경기도 고양시
녹색대학문고,경상남도,함양군,작은도서관,매주토요일+일요일,13:00,17:00,00:00,00:00,00:00,00:00,20,6000,2,0,0,0,경상남도 함양군 백전면 구산대안로 10-2,,,,,,,,2022-07-11,5460000,경상남도 함양군
반딧불작은도서관,경상남도,함양군,작은도서관,매주토요일+일요일,13:00,17:00,00:00,00:00,00:00,00:00,10,1250,0,0,0,0,경상남도 함양군 함양읍 거면강변길 22,,,,,,,,2022-07-11,5460000,경상남도 함양군
수동면새마을작은도서관,경상남도,함양군,작은도서관,평일+일요일,00:00,00:00,10:00,16:00,00:00,00:00,20,1200,0,0,4,7,경상남도 함양군 수동면 수동1길 118,,,,,,,,2022-07-11,5460000,경상남도 함양군
용유담작은도서관,경상남도,함양군,작은도서관,매주토요일+일요일,10:00,18:00,00:00,00:00,00:00,00:00,12,3000,0,0,0,0,경상남도 함양군 휴천면 송전길 364,,,,,,,,2022-07-11,5460000,경상남도 함양군
이산책판도서관,경상남도,함양군,작은도서관,매주토요일+일요일,10:00,17:00,00:00,00:00,00:00,00:00,10,1350,0,0,0,0,경상남도 함양군 서상면 덕유월성로 495,,,,,,,,2022-07-11,5460000,경상남도 함양군
휴먼시아새마을작은도서관,경상남도,함양군,작은도서관,매주 월요일~금요일,00:00,00:00,10:00,17:00,10:00,17:00,30,3378,0,0,4,7,경상남도 함양군 함양읍 함양로 1246(함양교산휴먼시아),,,,,,,,2022-07-11,5460000,경상남도 함양군
LH함양서하어린이도서관,경상남도,함양군,작은도서관,매주 화요일+일요일,11:00,19:00,11:00,19:00,00:00,00:00,30,1200,0,0,5,7,경상남도 함양군 서하면 송계앞길 7-2,,,,,,,,2022-07-11,5460000,경상남도 함양군
화순열린도서관,전라남도,화순군,공공도서관,매주 월+1월1일+설+추석,09:00,22:00,09:00,21:00,09:00,18:00,300,54475,18,1379,5,14,전라남도 화순군 화순읍 광덕로 231,전라남도 화순군청,061-373-3955,,1556,http://www.hslib.kr,35.0655124,126.9917538,2022-07-06,4900000,전라남도 화순군
능주면민도서관,전라남도,화순군,작은도서관,매주 월+일+법정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,40,5948,0,0,5,14,전라남도 화순군 능주면 정암길 90,전라남도 화순군청,061-372-2445,839.49,218.24,,34.9890688,126.9575585,2022-07-06,4900000,전라남도 화순군
세빛도서관,전라남도,화순군,작은도서관,연중무휴,07:00,18:00,07:00,18:00,07:00,18:00,30,3300,2,0,3,14,전라남도 화순군 화순읍 갱정길 16(세빛교회),세빛도서관,061-375-1009,,109,,35.0647639,126.9940659,2022-07-06,4900000,전라남도 화순군
화순작은도서관,전라남도,화순군,작은도서관,매주 일+월,13:00,18:00,13:00,18:00,13:00,18:00,10,1000,0,0,3,14,전라남도 화순군 동면 언동1길 82,화순작은도서관,061-371-9122,,60,,35.0430302,127.0317411,2022-07-06,4900000,전라남도 화순군
다사랑작은도서관,전라남도,화순군,작은도서관,매주 일,08:00,18:00,08:00,18:00,08:00,18:00,20,5000,3,0,3,14,전라남도 화순군 화순읍 진각로 125(2층),다사랑작은도서관,061-371-0191,,66,,35.06252376,126.9859842,2022-07-06,4900000,전라남도 화순군
지혜샘어린이문고,전라남도,화순군,작은도서관,매주 토+일,09:00,17:00,09:00,17:00,09:00,17:00,10,1500,0,0,3,14,전라남도 화순군 화순읍 중앙로 133(시온교회),지혜샘어린이문고,061-375-3004,,38,,35.0604876,126.9961312,2022-07-06,4900000,전라남도 화순군
늘푸른작은도서관,전라남도,화순군,작은도서관,연중무휴,10:00,17:00,10:00,17:00,10:00,17:00,36,6370,2,0,3,14,전라남도 화순군 능주면 학포로 2235-3(늘푸른교회),늘푸른작은도서관,061-371-9115,,66,,35.01306342,126.9520009,2022-07-06,4900000,전라남도 화순군
화순중앙도서관,전라남도,화순군,작은도서관,매주 월,10:00,18:00,10:00,18:00,10:00,18:00,28,3226,5,0,3,14,전라남도 화순군 화순읍 매화동길 24-1(중앙교회),화순중앙도서관,061-373-8291,,41,,35.0578317,126.9773981,2022-07-06,4900000,전라남도 화순군
꿈나무도서관,전라남도,화순군,작은도서관,매주 월,09:00,17:00,09:00,17:00,09:00,17:00,24,5454,0,0,3,14,전라남도 화순군 화순읍 칠충로 146(중부교회),꿈나무도서관,061-374-1004,,66,,35.0614303,126.984385,2022-07-06,4900000,전라남도 화순군
빛나라도서관,전라남도,화순군,작은도서관,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,40,5468,34,0,3,14,전라남도 화순군 화순읍 오성로 519-12(신실한교회),빛나라도서관,061-375-1047,,46.9,,35.0539587,126.9654276,2022-07-06,4900000,전라남도 화순군
해망마을도서관,전라남도,화순군,작은도서관,매주 일,14:00,17:00,14:00,17:00,14:00,17:00,24,3900,6,0,0,0,전라남도 화순군 도암면 아내미길 7,해망마을도서관,061-373-9937,,116.41,,34.9643822,126.8889739,2022-07-06,4900000,전라남도 화순군
안심 작은도서관,전라남도,화순군,작은도서관,매주 목,14:00,17:00,14:00,17:00,14:00,17:00,24,2807,1,0,3,14,전라남도 화순군 이서면 안심길 26,안심 작은도서관,061-371-0201,,63,,35.106199,127.0420849,2022-07-06,4900000,전라남도 화순군
잠정햇살마을도서관,전라남도,화순군,작은도서관,매주 월,15:00,22:00,15:00,22:00,15:00,22:00,39,1000,0,0,3,14,전라남도 화순군 능주면 잠정햇살길 20(잠정햇살마을),잠정햇살마을도서관,061-379-3956,,86.2,,34.9828193,126.9590842,2022-07-06,4900000,전라남도 화순군
능성예절도서관,전라남도,화순군,작은도서관,연중무휴,10:00,17:00,10:00,17:00,10:00,17:00,15,2000,2,0,3,14,전라남도 화순군 능주면 교촌길 36(능주향교),능성예절도서관,061-379-3956,,50.8,,34.9895869,126.9513476,2022-07-06,4900000,전라남도 화순군
광신프로그레시브작은도서관(너나들이도서관),전라남도,화순군,작은도서관,매주 화+목+금+일,15:00,18:00,13:00,16:00,00:00,00:00,12,1000,0,0,0,0,전라남도 화순군 화순읍 대리길 41,㈜광신주택,061-379-3956,,52.64,,35.0593374,126.9770692,2022-07-06,4900000,전라남도 화순군
경복작은도서관,전라남도,화순군,작은도서관,연중무휴,09:00,18:00,09:00,18:00,09:00,18:00,24,1700,0,0,0,0,전라남도 화순군 동면 복림길 4,경복작은도서관,,,70,,35.0527105,127.085709,2022-07-06,4900000,전라남도 화순군
도계도서관,강원도,삼척시,공공도서관,월요일+법정공휴일,09:00,18:00,09:00,22:00,00:00,00:00,180,95280,74,837,5,7,강원도 삼척시 도계읍 도계느티로 25-18,강원도 삼척시청,033-570-4211,3280,1160,,37.2323751,129.0497029,2022-06-23,4240000,강원도 삼척시
원덕도서관,강원도,삼척시,공공도서관,토요일+일요일+법정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,4,74812,50,160,10,30,강원도 삼척시 원덕읍 삼척로 446-14,강원도 삼척시청,033-572-4819,766,364,,37.17685442,129.3354843,2022-06-23,4240000,강원도 삼척시
중흥샘이깊은작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,10:00,18:00,09:00,17:00,00:00,00:00,30,6908,0,31,7,14,"경상남도 김해시 진영읍 장등로19번길 18, 관리동 2층(중흥s클래스2단지아파트)",경상남도 김해시청,055-346-7181,,146,http://lib.gimhae.go.kr,35.30855712,128.7325694,2022-06-15,5350000,경상남도 김해시
진례작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,30,9447,0,0,7,14,경상남도 김해시 진례면 송현로 21-1,경상남도 김해시청,055-345-4277,,141,http://lib.gimhae.go.kr,35.24884611,128.7507032,2022-06-15,5350000,경상남도 김해시
진영한빛도서관,경상남도,김해시,공공도서관,마지막주 월요일+국가지정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,259,130855,103,6414,7,14,경상남도 김해시 진영읍 김해대로 440,경상남도 김해시청,055-330-4831,,6568,http://lib.gimhae.go.kr,35.30467825,128.7369112,2022-06-15,5350000,경상남도 김해시
책고래작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:30,18:30,09:30,18:30,00:00,00:00,20,12723,25,0,7,14,"경상남도 김해시 장유로334번길 76, 관리동 3층(신문동, 장유e편한세상아파트)",경상남도 김해시청,055-314-5879,,193,http://lib.gimhae.go.kr,35.19409243,128.8108585,2022-06-15,5350000,경상남도 김해시
청소년문화의집,경상남도,김해시,작은도서관,매주월요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,10,5669,0,0,7,14,경상남도 김해시 가락로176번길 3,경상남도 김해시청,055-330-4634,,10,http://lib.gimhae.go.kr,35.24214897,128.8785294,2022-06-15,5350000,경상남도 김해시
칠암도서관,경상남도,김해시,공공도서관,마지막주 월요일+국가지정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,540,161189,123,7182,7,14,경상남도 김해시 활천로285번길 14 (삼방동),경상남도 김해시청,055-330-4581,,5868,http://lib.gimhae.go.kr,35.24456328,128.910444,2022-06-15,5350000,경상남도 김해시
캐슬작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,26,9583,0,76,7,14,"경상남도 김해시 가야로451번길 9, 관리동 2층(동상동, 롯데캐슬1단지아파트)",경상남도 김해시청,055-334-4822,,85,http://lib.gimhae.go.kr,35.24282762,128.8834639,2022-06-15,5350000,경상남도 김해시
팔판빛오름작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,40,4867,4,7,7,14,"경상남도 김해시 덕정로 108, 복리동 지하1층(관동동, 팔판마을부영이그린타운9차)",경상남도 김해시청,055-904-2408,,113,http://lib.gimhae.go.kr,35.17891941,128.797674,2022-06-15,5350000,경상남도 김해시
팔판작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,50,10724,7,3,7,14,"경상남도 김해시 덕정로 68, 관리동 지하1층(관동동, 팔판마을부영이그린타운3차아파트)",경상남도 김해시청,055-312-9822,,306,http://lib.gimhae.go.kr,35.17924236,128.7922295,2022-06-15,5350000,경상남도 김해시
하늘빛작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,32,11200,23,0,7,14,"경상남도 김해시 구산로5번길 65, 구지마을 동원아파트복리동 지하1층(구산동)",경상남도 김해시청,055-314-3601,,211,http://lib.gimhae.go.kr,35.25471487,128.8690008,2022-06-15,5350000,경상남도 김해시
한국작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,15,13605,0,0,7,14,"경상남도 김해시 분성로 155, 한국2차 관리동 지하1층(외동)",경상남도 김해시청,055-334-5400,,200,http://lib.gimhae.go.kr,35.23075022,128.8644942,2022-06-15,5350000,경상남도 김해시
한신책사랑작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,8165,24,0,7,14,"경상남도 김해시 분성로48번길 16, 한신타워아파트 관리동 2층(외동)",경상남도 김해시청,055-337-5151,,88,http://lib.gimhae.go.kr,35.2308061,128.8537536,2022-06-15,5350000,경상남도 김해시
화정글샘도서관,경상남도,김해시,공공도서관,마지막주 월요일+국가지정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,128,112372,115,10359,7,14,경상남도 김해시 삼계중앙로13번길 19(삼계동),경상남도 김해시청,055-330-2971,,4245,http://lib.gimhae.go.kr,35.26212698,128.8662657,2022-06-15,5350000,경상남도 김해시
활천행복작은도서관,경상남도,김해시,작은도서관,매주월요일+일요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,36,7741,0,75,7,14,"경상남도 김해시 인제로11번길 51, 활천동주민센터 2층(삼정동)",경상남도 김해시청,055-337-5544,,95,http://lib.gimhae.go.kr,35.22890489,128.8998574,2022-06-15,5350000,경상남도 김해시
꿈틀작은도서관,대구광역시,남구,작은도서관,매주월요일+매주일요일+국가지정공휴일,10:00,18:00,10:00,17:00,00:00,00:00,40,12529,25,30,10,14,"대구광역시 남구 성명공원길 18, 2층(대명동)",(사)대구시남구새마을회,053-621-8667,,121.5,,35.8479555,128.5723398,2022-07-14,3440000,대구광역시 남구
대명어울림도서관,대구광역시,남구,공공도서관,매주월요일+매주일요일+국가지정공휴일,09:00,20:00,09:00,17:00,00:00,00:00,184,13094,30,454,10,14,대구광역시 남구 두류공원로 38-1,대구광역시 남구청,053-664-3552,340,675.36,https://library.daegu.go.kr,35.84157307,128.573785,2022-07-14,3440000,대구광역시 남구
이천어울림도서관,대구광역시,남구,공공도서관,매주월요일+매주일요일+국가지정공휴일,09:00,20:00,09:00,17:00,00:00,00:00,203,25054,30,581,10,14,대구광역시 남구 이천로 124,대구광역시 남구청,035-664-3571,897,1260,https://library.daegu.go.kr,35.85239157,128.5988143,2022-07-14,3440000,대구광역시 남구
선비마을작은도서관,경상남도,산청군,작은도서관,토+국가지정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,12,14991,0,0,7,7,경상남도 산청군 시천면 남명로234번길 31,경상남도 산청군청,055-974-0190,,69,,35.27613314,127.8447867,2022-07-13,5450000,경상남도 산청군
정보과학도서관,경기도,과천시,공공도서관,금+국가지정공휴일+개관 기념일,09:00,22:00,09:00,18:00,09:00,18:00,540,319917,155,23726,10,14,경기도 과천시 중앙로 24,경기도 과천시청,02-2150-3008,24080,10027,http://www.gclib.go.kr,37.418729,126.989709,2022-07-09,3970000,경기도 과천시
문원도서관,경기도,과천시,공공도서관,첫째 주 금+둘째 주 금+국가지정 공휴일+개관 기념일,09:00,22:00,09:00,18:00,09:00,18:00,220,68498,144,1315,10,14,경기도 과천시 문원로 104,경기도 과천시청,02-2150-3080,1249,2538,http://www.gclib.go.kr/mw,37.42495599,127.007416,2022-07-09,3970000,경기도 과천시
고운작은도서관,경상남도,함양군,작은도서관,매주토요일+일요일,09:00,18:00,00:00,00:00,00:00,00:00,10,2500,5,20,0,0,경상남도 함양군 휴천면 문하길 30-3,,,,,,,,2022-07-11,5460000,경상남도 함양군
구세군사랑듬book작은도서관,경상남도,함양군,작은도서관,매주토요일+일요일,13:00,17:00,00:00,00:00,00:00,00:00,12,1100,4,0,0,0,경상남도 함양군 안의면 갈촌길 5,,,,,,,,2022-07-11,5460000,경상남도 함양군
성당하늘채도서관,대구광역시,달서구,작은도서관,토+일+법정공휴일,15:00,19:00,00:00,00:00,00:00,00:00,36,12566,0,128,5,8,"대구광역시 달서구 장기로 160 (감삼동, 성당코오롱하늘채)",,053-525-5957,,116.7,,35.84443764,128.5421725,2022-03-31,3470000,대구광역시 달서구
진천역화성파크리젠시도서관,대구광역시,달서구,작은도서관,화+목+토+일+법정공휴일,14:00,18:00,00:00,00:00,00:00,00:00,18,6932,6,80,3,7,"대구광역시 달서구 월배로11길 9-15 (유천동, 진천역화성파크리젠시)",,070-4243-8737,,58.6,,35.81343468,128.5189433,2022-03-31,3470000,대구광역시 달서구
광주제일교회도서관,광주광역시,서구,작은도서관,"매주월요일, 국가지정공휴일",10:00,18:00,10:00,18:00,10:00,18:00,84,10300,0,0,3,14,광주광역시 서구 치평동 상무공원로 56 광주제일교회,,062-382-1004,,165,,35.14958185,126.8434732,2021-10-26,3600000,광주광역시 서구
광주천사계작은도서관,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",09:00,18:00,09:00,18:00,09:00,18:00,29,20000,0,0,0,0,광주광역시 서구 치평동 상무공원로 56 광주제일교회,사단법인 꿈과도전,062-383-2006,,79,http://cafe.daum.net/youthdreamchallenge,35.166683,126.8588384,2021-10-26,3600000,광주광역시 서구
광주학생교육문화회관,광주광역시,서구,공공도서관,"매월 둘째, 넷째 월요일, 법정공휴일, 개관기념일(9월3일)",09:00,18:00,09:00,17:00,00:00,00:00,696,194139,58,8262,5,15,광주광역시 서구 상무 민주로 61,광주광역시 교육청,062-380-8800,14877,18332.72,http://lib.gen.go.kr/,35.155766,126.8585829,2021-10-26,3600000,광주광역시 서구
광주학생독립,광주광역시,서구,공공도서관,"매월 첫째, 셋째 월요일, 법정공휴일, 개관기념일",09:00,18:00,09:00,17:00,00:00,00:00,1411,206269,82,2153,5,15,광주광역시 서구 화정동 학생독립로 30 광주학생독립운동기념관,광주광역시 교육청,062-221-5500,65837,13783,http://lib.gen.go.kr/,35.14058875,126.8650218,2021-10-26,3600000,광주광역시 서구
광천사랑숲작은도서관,광주광역시,서구,작은도서관,매주 월요일,09:00,18:00,09:00,18:00,09:00,18:00,65,9200,2,50,2,3,광주광역시 서구 칠성로43번길 11,,062-714-3177,282,282.39,,35.1674834400,126.8622289588,2021-10-26,3600000,광주광역시 서구
교육과희망 작은도서관,광주광역시,서구,작은도서관,무휴,10:00,18:00,10:00,18:00,10:00,18:00,15,3000,0,0,3,14,광주광역시 서구 금부로95번길 43,,062-382-0979,,40.47,,35.14350843,126.8580686,2021-10-26,3600000,광주광역시 서구
글마루작은도서관,광주광역시,서구,작은도서관,무휴,09:00,18:00,09:00,18:00,09:00,18:00,20,1000,0,0,2,7,광주광역시 서구 발산로 36,,062-369-8072,,40,,35.15831031,126.8949601,2021-10-26,3600000,광주광역시 서구
금호2동작은도서관,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",09:00,18:00,09:00,17:00,09:00,18:00,60,12000,0,0,0,0,광주광역시 서구 풍금로 135 금호2동주민센터,금호2동주민센터,062-675-4504,133,984,,35.12899182,126.857155,2021-10-26,3600000,광주광역시 서구
기아꿈터어린이도서관,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,10:00,18:00,50,5500,0,0,0,0,광주광역시 서구 화운로 277,기아자동차㈜,062-370-1811,,132,,35.1635742884,126.8652274437,2021-10-26,3600000,광주광역시 서구
꿈꾸는터전작은도서관,광주광역시,서구,작은도서관,"매주월요일, 토요일, 국가지정공휴일",10:00,18:00,10:00,14:00,00:00,00:00,50,2500,0,0,0,0,"광주광역시 서구 치평로 80, 406호",꿈꾸는터전작은도서관,,,83.37,,35.15451731,126.8477075791,2021-10-26,3600000,광주광역시 서구
꿈빛도서관,광주광역시,서구,작은도서관,국가지정공휴일,09:00,22:00,09:00,22:00,09:00,22:00,21,9500,0,0,2,7,광주광역시 서구 천변좌하로 594(광천동),월드비전 무진종합사회복지관,062-372-2600,1689,501.68,http://www.gjw.or.kr/moojin/,35.168644,126.8754932,2021-10-26,3600000,광주광역시 서구
꿈일굼터 작은도서관,광주광역시,서구,작은도서관,"매주일요일, 국가지정공휴일",10:00,18:00,10:00,18:00,10:00,18:00,36,4471,0,0,2,14,광주광역시 서구 화정로 87-1,시영종합사회복지관,062-373-0360,84,84,,35.1461120404,126.8672522,2021-10-26,3600000,광주광역시 서구
동원4차작은도서관,경상남도,양산시,작은도서관,"토요일, 법정공휴일",10:00,16:00,00:00,00:00,00:00,00:00,18,1202,0,0,2,7,경상남도 양산시 물금읍 백호로 155,,,58,58,http://lib.yangsan.go.kr,35.313881,129.010264,2021-10-07,5380000,경상남도 양산시
